,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Sydney Metro Contract 1,Adult,390433,386386,370068,381402,405245,353196,341332,386683,437169,357110,450002,404992,417371,448961,419498,438484,455666,382007,389381,429725,469557,427345,501314,442598,481811,510926,462927,506676,521433,432004,453530,490800,540057,477497
Sydney Metro Contract 1,Adult Single Bus Trip 1,,25753,23416,23138,23352,22065,21306,21277,22132,19715,22140,20506,21944,20672,19788,20237,20786,20437,19834,19271,20420,18843,19759,16891,18345,17523,15565,17134,17252,17521,17732,16570,17016,16262
Sydney Metro Contract 1,Adult Single Bus Trip 2,,17882,14984,14465,13914,13285,12021,11824,12923,11281,12297,10876,12068,11032,10484,10477,10561,10862,10665,9681,10367,9672,9980,8323,10245,9447,7948,9152,9124,8960,9009,8363,8561,7795
Sydney Metro Contract 1,Adult Single Bus Trip 3,,1880,1459,1355,1198,1102,1098,1009,992,947,971,876,992,881,920,917,837,942,922,776,803,785,795,688,891,851,726,857,825,761,731,734,810,781
Sydney Metro Contract 1,Child/Youth,62800,67010,70022,78951,76328,77290,80779,80920,82720,78164,77300,68761,89142,73381,77498,83085,79384,81840,90813,85852,89194,87921,85444,75635,96862,84041,76967,94270,83569,80732,92159,88688,89238,86688
Sydney Metro Contract 1,Child/Youth Single Bus Trip 1,,14002,12523,11226,9254,10271,10453,6258,6998,8981,6289,5812,8689,5568,7029,6771,5690,8491,8730,5228,5720,7288,5113,4494,7502,4981,4518,5907,4407,5647,7175,3669,4017,5125
Sydney Metro Contract 1,Child/Youth Single Bus Trip 2,,10189,8836,8459,5673,7826,8579,4342,4548,7459,4281,3982,7252,3825,5503,5139,3981,6447,7107,3340,3697,5799,3306,3034,5961,3307,2973,4738,3120,4444,5753,2719,2787,4168
Sydney Metro Contract 1,Child/Youth Single Bus Trip 3,,907,937,927,588,820,869,389,428,680,388,329,658,353,456,448,408,616,766,299,363,539,272,278,614,327,305,470,267,447,648,256,310,381
Sydney Metro Contract 1,Concession,136064,73590,61676,60635,57858,45808,42676,53466,87410,62040,81990,62266,63203,86293,70969,74487,69407,52591,49620,60089,89220,71692,89724,66213,65528,89250,71129,71192,64437,47328,45245,57323,87022,70678
Sydney Metro Contract 1,Employee,,,,,,,,,1,,,,,,,,,2,,,,,,,4,1208,1863,2254,2325,1901,2225,2690,2905,2749
Sydney Metro Contract 1,Free Travel,1149,1281,1320,1410,1462,1337,1329,1407,1622,1436,1619,1374,1433,1538,1359,1542,1641,1520,1514,1723,1814,1734,1932,1709,1934,2064,1752,2047,2040,1909,2040,2104,2136,1898
Sydney Metro Contract 1,School Student,138642,296261,203827,197558,255994,105576,14972,241273,288260,94867,274658,225602,112694,238995,162480,189313,239425,91676,16314,256916,306310,126463,336860,275618,147138,305345,245625,157638,253123,116188,16653,291709,335098,163733
Sydney Metro Contract 1,Senior/Pensioner,206110,224668,218598,227088,236965,216294,203201,220030,245205,204773,243810,220501,222539,233460,219245,229995,239296,209388,204510,219649,241446,217295,251153,220356,230432,245504,219183,239069,246005,217410,207693,225652,242478,223020
Sydney Metro Contract 1,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,7,1,,,,,,,6,1,3,7,4,,1,1,3,4,10,3
Sydney Metro Contract 1,Day Pass without SAF,,,,,,,,,,,,,,4,16,6,,,,,,2,11,19,37,30,22,28,43,50,66,71,128,111
Sydney Metro Contract 2,Adult,95379,98930,96846,95814,105072,88501,84714,97919,114265,92227,117522,104244,106827,115378,111804,114294,119017,99122,100977,112605,123182,110813,130112,115479,124868,132341,121652,128316,132708,110262,115653,128690,141518,125739
Sydney Metro Contract 2,Adult Single Bus Trip 1,,7531,6630,5846,6236,6010,5415,5532,5957,4931,5994,5002,5757,5607,5511,5662,5538,5305,4978,4970,5275,4791,5236,4257,4727,4533,4538,5111,4965,4800,4661,4322,4619,4389
Sydney Metro Contract 2,Adult Single Bus Trip 2,,5322,4127,3554,3666,3407,2984,2818,2996,2819,2916,2538,2886,2610,2718,2832,2712,2602,2482,2048,2506,2248,2317,2086,2282,2278,2256,2622,2457,2195,2272,2037,2128,1864
Sydney Metro Contract 2,Adult Single Bus Trip 3,,798,634,561,591,498,498,417,456,381,443,410,412,449,373,358,377,426,406,303,305,332,315,266,346,312,342,346,339,350,367,284,273,284
Sydney Metro Contract 2,Child/Youth,15217,18145,19883,20366,21889,20941,20308,22705,22796,21051,21146,18963,24222,21976,23184,23422,23184,22548,23669,22809,23677,22532,21074,19236,24613,23080,25799,28573,29268,24753,24948,29396,28946,25724
Sydney Metro Contract 2,Child/Youth Single Bus Trip 1,,2745,2655,2320,2152,2053,1996,1335,1580,1667,1417,1267,1820,1349,1514,1286,1140,1446,1521,965,1076,1217,1003,763,1352,1012,1311,1565,1396,1426,1462,1102,1296,1285
Sydney Metro Contract 2,Child/Youth Single Bus Trip 2,,1706,1777,1359,1162,1399,1404,835,820,1206,750,812,1272,806,1003,923,610,901,1182,579,742,919,591,598,997,566,744,911,712,816,1008,589,697,723
Sydney Metro Contract 2,Child/Youth Single Bus Trip 3,,243,218,184,139,215,202,111,114,183,102,124,189,110,116,138,86,174,164,105,110,113,75,86,153,102,118,156,95,140,191,81,87,104
Sydney Metro Contract 2,Concession,37534,23745,20282,19053,20104,16488,15719,20534,30653,22158,28790,22225,22353,29077,24080,24604,23159,17479,17001,20393,30309,24307,30234,22850,22415,28101,24213,22201,20921,15797,15362,19412,28255,23373
Sydney Metro Contract 2,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,243,359,492,566,471,587,675,824,635
Sydney Metro Contract 2,Free Travel,663,850,925,975,1130,1058,911,1038,1073,1019,1196,958,972,1010,1004,1112,1103,951,1011,854,919,898,1096,929,1068,1157,1017,1080,1182,1116,1076,1118,1181,1013
Sydney Metro Contract 2,School Student,33879,83258,59145,54822,73227,28460,3901,66266,78036,26336,80189,65058,32887,71883,48299,51362,62306,22707,4256,60749,65471,26332,66589,54120,28654,70227,85068,64494,113394,49996,6280,109072,117644,59973
Sydney Metro Contract 2,Senior/Pensioner,80018,93181,90156,90364,96103,87640,79041,87363,98689,82799,98189,88694,90257,95128,90732,92075,94932,85494,83760,89251,97625,85546,98506,86719,91704,97165,90172,92930,97562,87319,82568,90956,96763,90167
Sydney Metro Contract 2,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,1,,,,,7,1,,,3,,,3,5,10,5,11,6,4
Sydney Metro Contract 2,Day Pass without SAF,,,,,,,,,,,,,,,10,,,,,,,5,4,3,1,7,7,7,8,14,25,21,11,13
Sydney Metro Contract 3,Adult,358199,362876,358847,357225,382168,336947,323012,343946,367571,337249,422936,385955,392943,420805,398923,409218,426084,363618,361659,395725,433936,404594,473051,414702,448534,472420,434593,469712,483938,406128,418389,445412,488165,442279
Sydney Metro Contract 3,Adult Single Bus Trip 1,,26474,23641,22558,22660,21972,19856,19400,18556,19079,20551,18235,18825,18588,18620,18497,18361,18842,17722,17115,18207,18036,17922,15319,16380,15584,14774,15851,15747,15991,15167,14831,15662,14943
Sydney Metro Contract 3,Adult Single Bus Trip 2,,21037,17322,15772,15949,15103,13674,13050,12519,12469,13517,11895,12759,12162,11672,11343,10999,10825,10554,10090,10401,10203,10458,8650,9592,9222,8563,9547,9230,9250,8649,8621,8468,8371
Sydney Metro Contract 3,Adult Single Bus Trip 3,,3132,2502,2264,2234,2382,2041,2076,1806,1803,1879,1646,1819,1646,1414,1535,1528,1714,1484,1426,1482,1438,1490,1239,1296,1365,1247,1407,1412,1354,1250,1041,1147,1097
Sydney Metro Contract 3,Child/Youth,48558,60182,62642,66791,72372,69454,64697,74409,70240,73058,79594,71744,81384,79066,81199,82819,82507,77763,75025,85944,88767,80039,82442,73366,84482,82778,77435,82471,81204,75719,75872,84044,85061,79214
Sydney Metro Contract 3,Child/Youth Single Bus Trip 1,,14039,10431,8823,8432,8043,6491,5668,5236,6566,5914,5232,6540,5879,6042,5770,5317,5645,4967,4616,4912,4790,4363,3871,5172,4364,4124,4373,4016,4369,4394,3394,3727,3969
Sydney Metro Contract 3,Child/Youth Single Bus Trip 2,,8986,6720,5570,4736,5860,5649,3309,3139,5049,3511,3479,4937,3380,4105,3730,3217,4029,4136,2545,2802,3762,2435,2368,3695,2527,2671,3068,2504,3291,3558,2041,2287,2835
Sydney Metro Contract 3,Child/Youth Single Bus Trip 3,,663,563,411,287,469,421,255,247,334,245,206,334,147,262,185,174,294,331,173,213,240,159,199,303,184,173,197,148,347,293,197,194,252
Sydney Metro Contract 3,Concession,141581,94549,81868,83759,85457,74738,71531,89974,126184,100171,132503,101862,100008,129794,106347,110264,102224,78564,71639,86457,126983,98618,120777,89783,87956,121798,101336,94346,85259,63140,56089,71486,106941,88334
Sydney Metro Contract 3,Employee,1,,,1,,,,,,,,,,,,1,,,1,,,,1,,,695,1194,1458,1383,1201,1549,1622,1826,1532
Sydney Metro Contract 3,Free Travel,1299,1693,1693,1568,1869,1599,1417,1609,1649,1501,2009,1685,1701,1912,1688,1855,1821,1527,1272,1493,1819,1665,2029,1859,1939,1990,1896,1844,2097,1802,1731,1899,2080,1727
Sydney Metro Contract 3,School Student,69157,168615,124118,120205,165809,70202,10146,148887,165640,66401,203974,176259,89844,200836,138009,146718,189958,71013,11439,181955,200223,80587,209501,173513,94510,195207,164189,108358,176817,86031,11089,175681,192568,98127
Sydney Metro Contract 3,Senior/Pensioner,242938,274479,270225,272252,286254,265125,246095,253752,263471,254421,300134,271737,274744,290844,275720,283361,293095,262191,259247,271211,299218,272716,310280,271484,288805,299826,280752,293085,303434,278934,268167,285167,310254,288404
Sydney Metro Contract 3,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,2,,1,1
Sydney Metro Contract 3,Day Pass without SAF,,,,,,,,,,,,,,,15,8,,,,,2,2,7,5,11,13,13,18,40,8,20,31,33,48
Sydney Metro Contract 4,Adult,1110352,1184057,1125875,1074581,1169415,956656,954863,1092166,1272825,985917,1315568,1194946,1205369,1324087,1237537,1262603,1329103,1067240,1134814,1256731,1386691,1270690,1521955,1339381,1419096,1504929,1361620,1472392,1500351,1209117,1287612,1423293,1537588,1353095
Sydney Metro Contract 4,Adult Single Bus Trip 1,,9488,8856,7644,7421,7491,6554,6141,6750,6017,6186,5456,5753,5567,5219,5214,5213,5177,5082,4998,5081,4475,4494,3687,4204,3655,3400,3946,3565,3540,3214,2943,3095,2830
Sydney Metro Contract 4,Adult Single Bus Trip 2,,6053,5456,4741,4413,4602,3927,3758,3826,3643,3687,3241,3245,2830,2747,2792,2663,2710,2615,2356,2619,2383,2138,2017,2430,2163,1845,2031,2107,1960,1866,1689,1827,1739
Sydney Metro Contract 4,Adult Single Bus Trip 3,,17279,15631,14919,13113,14428,12895,10352,11337,11471,11018,10612,9774,8968,8881,9196,8694,9960,9030,7800,8313,7277,6908,6168,5935,5477,5388,5853,5510,6551,5587,5000,5185,5159
Sydney Metro Contract 4,Child/Youth,89626,88354,93990,92580,93797,99913,104872,100027,110048,104988,101455,96642,117916,101273,108307,107645,102316,114653,125617,110677,115670,121960,106624,100487,131030,105917,100632,119861,106070,116560,133441,116469,126064,128336
Sydney Metro Contract 4,Child/Youth Single Bus Trip 1,,6589,4790,3477,2895,2967,2831,1717,1940,2321,1718,1488,2058,1382,1692,1526,1153,1390,1702,982,1034,1295,851,703,1255,721,661,973,697,811,1021,507,595,779
Sydney Metro Contract 4,Child/Youth Single Bus Trip 2,,3231,3145,2363,1546,2304,2585,1041,1079,2091,1069,1022,1782,911,1247,1117,724,1316,1516,668,670,1125,569,534,1087,530,495,845,513,712,868,389,459,821
Sydney Metro Contract 4,Child/Youth Single Bus Trip 3,,5248,3830,3279,1979,3155,3498,1376,1694,2692,1474,1600,2175,1178,1638,1544,967,1862,2117,873,1067,1587,938,892,1379,752,714,1007,652,1188,1275,512,610,949
Sydney Metro Contract 4,Concession,143585,199464,155529,157658,128830,91637,85978,109169,231413,148339,217191,147030,123925,225608,168989,180773,145565,101753,99526,122423,229880,173372,224865,154979,138376,235799,175284,196212,153835,110667,107955,146329,250542,189541
Sydney Metro Contract 4,Employee,1,,,,,2,,1,2,1,,,,1,,,1,1,1,,,1,,1,19,2080,2799,3128,3399,2935,3123,3513,3863,3448
Sydney Metro Contract 4,Free Travel,1436,1950,1867,2066,2366,2098,1872,2039,2430,1969,2417,2323,2191,2515,2445,2523,2650,2060,1945,2244,2551,2227,2446,2152,2065,2226,2043,2224,2325,1974,1921,2189,2435,2235
Sydney Metro Contract 4,School Student,106945,246098,175165,157520,210231,81406,14831,214840,254953,85458,249028,202738,108319,237670,161332,164730,207980,76916,17132,223734,238679,100556,260209,218505,111957,248256,211870,135612,223935,104734,18041,237132,302889,164243
Sydney Metro Contract 4,Senior/Pensioner,184319,202488,200000,198730,213493,188149,173617,190188,218584,184555,221985,203205,206783,219424,207009,210048,221703,195677,192083,204560,225990,208536,235893,211798,225020,234915,216429,227572,233973,210491,200739,220375,232198,215118
Sydney Metro Contract 4,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,3,1
Sydney Metro Contract 4,Day Pass without SAF,,,,,,,,,,,,,,2,3,1,,,,,,1,10,8,8,10,7,8,11,6,25,59,35,36
Sydney Metro Contract 5,Adult,101718,105057,102149,102105,112873,99340,96356,104952,124545,98009,126915,114682,113618,124499,119905,125506,131714,112923,114284,124772,140837,129063,150422,134100,146681,154578,141666,151740,154904,134545,140495,145740,158745,141899
Sydney Metro Contract 5,Adult Single Bus Trip 1,,6316,5464,5107,5584,4908,4560,4565,5060,4277,4929,4430,4619,4502,4479,4389,4316,4252,4206,4058,4454,4309,4334,3867,4228,4111,3917,3977,4122,3930,4102,3829,4112,3781
Sydney Metro Contract 5,Adult Single Bus Trip 2,,1994,1644,1568,1522,1453,1468,1397,1442,1259,1391,1226,1203,1123,1076,1050,1087,1046,1035,974,1117,1038,952,895,1040,951,945,1015,1031,1023,1085,936,1030,909
Sydney Metro Contract 5,Adult Single Bus Trip 3,,76,51,47,29,42,47,27,31,19,28,32,32,27,33,34,40,21,23,24,28,48,41,51,33,39,41,37,35,37,31,26,26,25
Sydney Metro Contract 5,Child/Youth,16248,15396,18546,18193,20525,20684,20662,18605,18931,19238,17913,16016,20904,16457,19446,18983,17835,19876,21925,17934,18257,20986,15875,15009,22973,16727,16706,21663,18710,20269,24669,18725,18692,20555
Sydney Metro Contract 5,Child/Youth Single Bus Trip 1,,2366,2235,1864,1611,1920,2194,1020,1120,1640,989,913,1387,828,1183,1011,758,1062,1362,666,674,1125,580,523,1062,542,634,1101,761,1030,1430,529,729,1068
Sydney Metro Contract 5,Child/Youth Single Bus Trip 2,,790,913,695,538,692,843,367,405,565,301,308,482,301,556,408,262,447,598,223,254,511,219,202,451,183,213,368,267,392,520,222,270,415
Sydney Metro Contract 5,Child/Youth Single Bus Trip 3,,20,26,34,23,33,25,13,6,5,8,16,12,5,10,9,8,7,15,4,9,16,10,13,20,8,4,14,8,14,15,1,4,8
Sydney Metro Contract 5,Concession,26744,17118,14941,14027,13506,11109,10058,12418,19561,14292,19212,14505,13637,18556,15898,16131,15064,11923,11549,13872,21592,17692,21562,16619,17299,22754,19111,18647,16696,13126,12507,15141,22073,18115
Sydney Metro Contract 5,Employee,,,,,,,,,,,,1,,1,,,,,,,,,,,1,149,308,324,413,397,383,396,511,499
