,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
"T1 North Shore, Northern and Western Line",Adult,8575135,9484134,8956112,8778524,9221978,8036202,7774754,8446672,9994667,8111738,10184630,9333731,9247078,9969136,9473985,9648065,8131940,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Child/Youth,432083,370300,425154,438430,404288,505401,552039,394228,426221,506330,377342,421819,543192,385194,478539,454655,347198,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Concession,790206,1081373,855554,839434,677907,524749,488489,607040,1187470,824351,1110089,775525,679908,1147815,894566,908252,607709,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,14,5,,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Day Pass without SAF,,,,,,,,,,,,,,9,78,26,,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Employee,101255,118953,116703,110616,121988,107270,97568,110490,128093,97808,127495,118098,109516,119095,107264,106065,91293,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Free Travel,9429,11477,11259,11744,12608,10920,9976,11494,13291,11147,13745,12203,12363,13432,11721,11424,9911,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",School Student,217702,502695,375289,338381,456338,174567,30356,464128,555627,191132,572689,467968,249878,548932,370025,369623,393223,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Senior/Pensioner,880165,986891,958036,971764,1002122,923518,852475,892348,1021345,885705,1030781,969060,963069,997504,962646,975085,832315,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Adult,20587,79617,80999,80716,82110,94943,76493,72444,82624,76315,76555,76471,85059,84262,84439,86835,74147,,,,,,,,,,,,,,,,,
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Child/Youth,7516,19407,23395,22204,18246,29155,28172,15911,19197,26095,18311,21146,30435,21061,25091,23503,16603,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Adult,5266404,5568667,5382635,5328090,5519508,5124055,4988179,5164752,5888618,5142431,6145569,5775957,5772717,6154100,5843799,6060992,5176662,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Child/Youth,237705,202533,228278,235099,209515,286848,327064,198930,212256,280438,202197,242473,310963,217247,258656,248187,196351,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Concession,527290,624672,506205,486778,402211,326413,308993,369619,658641,494004,640479,473617,423577,677580,533649,530333,373709,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Day Pass without SAF,,,,,,,,,,,,,,5,28,13,,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Employee,63235,71633,71296,69185,75731,68435,62458,68436,78772,62556,79565,75076,74716,81286,72377,73184,62645,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Free Travel,5175,6570,6399,6483,7085,6388,6036,6569,7439,6596,7557,6882,7182,7637,6523,7055,6182,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",School Student,83558,196783,144178,133585,177666,72619,11476,180228,221747,77961,228954,195285,103110,230911,153025,158118,165753,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Senior/Pensioner,544665,598300,592001,610371,617855,590856,559418,550473,615383,571992,643324,617657,609771,621555,603783,620159,537582,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Sgl Trip Rail Adult,35335,135457,142834,145110,146941,160986,134011,136952,147222,138111,140308,138458,158568,158954,158600,170215,150045,,,,,,,,,,,,,,,,,
"T2 Airport, Inner West and South Line",Sgl Trip Rail Child/Youth,5815,16203,19167,17857,14246,25398,26144,13796,15071,22451,14618,19344,30569,20893,23092,22574,16116,,,,,,,,,,,,,,,,,
T3 Bankstown Line,Adult,1615473,1767064,1689548,1691384,1747282,1588061,1529871,1557785,1858232,1617781,1926075,1790468,1595259,1771896,1680504,1758462,1819687,1665264,1620196,1596492,1891061,1837444,2046455,1869787,1908824,1965061,1896056,1985959,1898095,1871057,1729333,1756545,2022964,1887198
T3 Bankstown Line,Child/Youth,83619,76553,86852,91282,81801,103801,112245,75895,85381,105937,77414,86600,98067,77292,91289,91144,84767,108790,112479,76953,90388,110789,78768,88031,112238,79152,84521,97130,77261,112234,112732,80983,89800,107251
T3 Bankstown Line,Concession,174271,215917,174931,168905,139608,111584,104421,121362,223871,169963,218231,160304,128362,210562,167685,168488,143320,113343,104324,120029,217228,190414,227385,161606,149095,223549,181051,176741,137548,117632,104995,136224,223086,189431
T3 Bankstown Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,32110,40668,43070,52837,53439
T3 Bankstown Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,1,,7,4
T3 Bankstown Line,Day Pass without SAF,,,,,,,,,,,,,,1,6,2,,,,,,2,5,2,4,7,3,14,20,12,10,9,19,21
T3 Bankstown Line,Employee,13196,15391,15547,15093,16371,15432,13597,14636,17174,14479,18095,16640,13287,14633,13182,12828,14566,13881,13375,13277,15792,15035,17500,15641,15059,15701,15037,16839,16265,17118,14987,16078,19297,17771
T3 Bankstown Line,Free Travel,1087,1328,1338,1361,1545,1396,1221,1360,1448,1462,1659,1486,1322,1509,1287,1240,1341,1412,1154,1359,1616,1581,1766,1588,1683,1729,1613,1906,1961,2044,1668,1723,1948,1879
T3 Bankstown Line,School Student,28934,68907,50754,46327,62104,26485,3824,60165,74103,26290,80116,68979,32763,75703,50496,48713,64464,25230,4469,62131,69260,31158,81818,68935,37476,79653,70791,43697,72352,37249,4760,70752,81023,43585
T3 Bankstown Line,Senior/Pensioner,227938,255536,251984,259218,262304,247124,235756,228102,262193,240326,269383,252763,228782,242881,235344,240935,249416,240528,227495,218228,255607,248290,269395,244763,257691,258190,255322,263738,254792,268816,239250,248638,278297,267687
T3 Bankstown Line,Sgl Trip Rail Adult,4303,14894,15599,15796,15247,19491,16062,14125,15557,15432,14156,15053,13451,13744,13804,14519,16384,21824,18293,16216,19787,17748,17096,17760,14770,15391,15096,16291,15866,20493,14541,12612,14666,14257
T3 Bankstown Line,Sgl Trip Rail Child/Youth,1630,3929,4930,4582,3591,5661,5580,3184,3783,5068,3630,4346,5089,3909,4414,4166,3848,6420,6203,3570,4395,5579,4094,5104,5480,3966,3795,4468,3343,5901,5039,3040,3720,5247
